Configurations,(mean) value
dm16seql256,"[0.00038074999997661507, 0.00034475899997232773, 0.0003828260000773298, 0.00037056500013932236, 0.0003894859999036271, 0.0003394540001409041, 0.000394452999898931, 0.0003371290001723537, 0.0003203230000963231, 0.00034093099998244725, 0.00033291799991275184, 0.0003896349999195081, 0.00032177799994315137, 0.0003180509997946501, 0.0003361990000030346, 0.00038246799999797076, 0.0003831070000615, 0.0003212490000805701, 0.0003279980001025251, 0.00031597800011695654, 0.0011676630001602462, 0.00039818200002628146, 0.0003280869998434355, 0.0003155580000111513, 0.00031465999995816674, 0.00034143999982916284, 0.0003842010000880691, 0.00037385299992820364, 0.0003148539999529021, 0.000316936999979589, 0.00031337899986283446, 0.0003800649999448069, 0.00038103899987618206, 0.00031686700003774604, 0.0003298200001609075, 0.00031692099992142175, 0.00036445299997467373, 0.00038767300020481343, 0.00031792999993740523, 0.00031438899986824254, 0.0003145739999581565, 0.00036885400004393887, 0.000329494000197883, 0.00031507000016972597, 0.0003154010000798735, 0.00037588999998661166, 0.0004026180001801549, 0.0003165390000958723, 0.0003270339998380223, 0.00031427499993696983, 0.00040294599989465496, 0.00031547499997941486, 0.0003219399998215522, 0.000312369999846851, 0.00031389299988404673, 0.00039559999981975125, 0.00038102999997136067, 0.00031628500005354, 0.00031234499988386233, 0.00033445799999753945, 0.0003519750000577915, 0.00038583700006711297, 0.00031300299997383263, 0.0003130610000425804, 0.0004093180000381835, 0.00038375899998754903, 0.00031404000014845224, 0.0003257460000440915, 0.00031044699994708935, 0.0003131910000320204, 0.0003870989999086305, 0.0003357059999871126, 0.0003123950000372133, 0.00031248000004779897, 0.00031005999994704325, 0.00037722000001849665, 0.0003708849999384256, 0.00032145599993782525, 0.0003165059999901132, 0.00031338500002675573, 0.0003125329999420501, 0.0003514289999202447, 0.0003753179998966516, 0.00033983200000875513, 0.00037389799990705797, 0.0003919640000731306, 0.0003185040000062145, 0.00031466999985241273, 0.00031432399987352255, 0.0003126710000742605, 0.0003571759998521884, 0.00038909900013095466, 0.00033113199992840237, 0.0003150009999899339, 0.00045648800005437806, 0.00037610699996548647, 0.0004641500001980603, 0.00039170800005194906, 0.0003592610000850982, 0.00035458999991533346]"
memoryallocateddm16seql256,19726848.0
backwarddm16seql256,"[0.0006544400000620954, 0.0006166809998831013, 0.0005720249998830695, 0.0006214210000052844, 0.0007064420001370308, 0.0005785470000319037, 0.0005734970000048634, 0.0006212870000581461, 0.0006361969999488792, 0.0006616230000418, 0.0005704349998723046, 0.0006076350000512321, 0.0006472120001035364, 0.0006631749999996828, 0.0005795829999897251, 0.0005781889999525447, 0.0005926069998167804, 0.000680052000006981, 0.0006042200000138109, 0.000574950999862267, 0.0006765699999959907, 0.0005834139999478793, 0.0006280000000060681, 0.0006436439998651622, 0.0005804530001114472, 0.0006008410000504227, 0.0005679789999248896, 0.0005647999998927844, 0.0006565179999142856, 0.0006196010001531249, 0.0005826010001328541, 0.0005750650000209134, 0.0006055169999399368, 0.0006745159998899908, 0.0006252279999898747, 0.00057957399985753, 0.0005660029999035032, 0.0006159449999358912, 0.0006294209999850864, 0.0006486429999768006, 0.0005737940000472008, 0.0006658670001797873, 0.0006400070001291169, 0.0006358749999435531, 0.0005766209999364946, 0.0005692340000678087, 0.000631822000059401, 0.000678563000064969, 0.0006446499999128719, 0.0005953370000497671, 0.0006228279999049846, 0.0006239710000954801, 0.0006373829999120062, 0.0005813790000956942, 0.0006027940000876697, 0.0005633299999772134, 0.0005984070000977226, 0.0006394009999439731, 0.0006625519999943208, 0.0005849610001860128, 0.0005633149999084708, 0.0006329580000965507, 0.0006100589998823125, 0.0005700439999145601, 0.0005895419999433216, 0.0006032100000084029, 0.0006634889998622384, 0.0005763510000633687, 0.0005867519998901116, 0.0005618860000140558, 0.000564107999935004, 0.0006299429999216954, 0.0006449649999922258, 0.0005920389999118925, 0.0005915560000175901, 0.0006007450001561665, 0.0005990540000766487, 0.0006222500001058506, 0.0006290369999533141, 0.0005775149998044071, 0.0005740530000366562, 0.0005687249999937194, 0.0006344050000279822, 0.0006182879999414581, 0.0005645399999139045, 0.0005964920001133578, 0.0006128120000994386, 0.000640120000070965, 0.0006050889999187348, 0.0005748910000420437, 0.0005662970002049406, 0.0006412160000763834, 0.0006696909999845957, 0.0007939110000734217, 0.000673516999995627, 0.0010065299998132105, 0.001176729000007981, 0.000554869000097824, 0.0006888410000556178, 0.0006104210001467436]"
dm16seql1024,"[0.0012963970000328118, 0.0012948200001119403, 0.0013076620000447292, 0.0012875590000476222, 0.0012878569998520106, 0.0012879240000529535, 0.001294571000016731, 0.0012881029999789462, 0.00137490599990997, 0.00130163500011804, 0.0012950119999004528, 0.001300721000006888, 0.0012898170000426035, 0.0012908999999581283, 0.001295111999979781, 0.0013127219999660156, 0.00130622200003927, 0.0012980649999008165, 0.0012902959999792074, 0.001288543000100617, 0.0012880629999472148, 0.0012981820000277366, 0.001321336000046358, 0.0012970599998425314, 0.0012872120000793075, 0.0012870059999841033, 0.0013008399998852838, 0.0012960970000222005, 0.0012898210000003019, 0.0012973520001651195, 0.0012979319999431027, 0.0012898160000531789, 0.0013336470001377165, 0.0012857440001425857, 0.001287124999862499, 0.001296930000080465, 0.0012924760001169489, 0.0013014819999170868, 0.0010017409999818483, 0.0010003489999235171, 0.0009932890000072803, 0.0009989520001454366, 0.0009999769999922137, 0.000995211999907042, 0.000995054999975764, 0.0009983730001295044, 0.0009963950001292687, 0.001028196999868669, 0.0010151260000839102, 0.0010246129997995013, 0.0010253469999952358, 0.0009932180000760127, 0.0010013229998548923, 0.0010053390001303342, 0.0010020370000347611, 0.0009996339999815973, 0.0010771779998322017, 0.0010620120001476607, 0.0010106570000516513, 0.0010047509999822068, 0.0010085950000302546, 0.0010010839998813026, 0.001012570000057167, 0.0010027220000665693, 0.0010043730001143558, 0.0009918709999965358, 0.0009984910000184755, 0.001001616999928956, 0.0009966570000869979, 0.0009914150000440713, 0.0010106160000304953, 0.0010035589998551586, 0.0010047410000879609, 0.0010464460001458065, 0.0009970520000024408, 0.001002751999976681, 0.0010059930000352324, 0.00099964900005034, 0.0009945010001501942, 0.0009999030000926723, 0.0009967029998279031, 0.001005063000093287, 0.0010121420000359649, 0.0009867109999959212, 0.0009835800001383177, 0.0010108349999882194, 0.0010653460001321946, 0.001037242999927912, 0.0010089540000990382, 0.0010171059998356213, 0.001024543000085032, 0.0010020820000136155, 0.0009996460000820662, 0.001015268000173819, 0.0010370259999490372, 0.0010121559998879093, 0.0010087929999826883, 0.001014217999909306, 0.0010039239998604899, 0.0011003580000306101]"
memoryallocateddm16seql1024,53740032.0
backwarddm16seql1024,"[0.002336528000114413, 0.0022667999999157473, 0.0022659090000161086, 0.0022665710000637773, 0.002276250999784679, 0.0022921570000562497, 0.002365472000064983, 0.0024206719999710913, 0.0023096429999895918, 0.002340821999951004, 0.0022670250000373926, 0.0022841380000500067, 0.0022740970000540983, 0.002267428999857657, 0.002287610999928802, 0.0023256910001236974, 0.002291079000087848, 0.00227345600001172, 0.0022735430000011547, 0.0022678969999105902, 0.0022676849998788384, 0.0022719730000062555, 0.0022651150000001508, 0.0023174489999746584, 0.0023362669999187347, 0.0022689700001592428, 0.002275428000075408, 0.0022625639999205305, 0.002266122000037285, 0.0023477560000628728, 0.0023150800000166782, 0.0022778439999910916, 0.0022581640000680636, 0.002264749000005395, 0.0022681759999159112, 0.0023097789999155793, 0.0022590689998196467, 0.001991940000152681, 0.0018157940000946837, 0.001823834999868268, 0.0018128920000890503, 0.0017719170000418671, 0.0017697680000310356, 0.001772598000115977, 0.0017697589998988406, 0.0017698429999200016, 0.0018407160000606382, 0.0017612890001146297, 0.0017607849999876635, 0.0017971149998174951, 0.00178674099993259, 0.0017646329999934096, 0.001764175000062096, 0.00179904800006625, 0.0017589710000720515, 0.0017656239999723766, 0.002950137999960134, 0.0017831000000114727, 0.0018072810000830941, 0.0017793329998312402, 0.0017617830001199764, 0.001760050000029878, 0.0017838609999216715, 0.0017732710000473162, 0.001778897999884066, 0.00177288400004727, 0.0017981460000555671, 0.0017744460001267726, 0.0017882310000914003, 0.0017981309999868245, 0.0017583920000561193, 0.001743369999985589, 0.0017355820000375388, 0.0017377770000166493, 0.0017362130001856713, 0.0017589219999081251, 0.0017335930001536326, 0.0017330979999314877, 0.0017300140000315878, 0.0017472770000495075, 0.0017602149998765526, 0.001774019999857046, 0.0022471390000191604, 0.0017862300001070253, 0.0017929199998434342, 0.0018095949999406002, 0.0018114070001047367, 0.0018520759999773873, 0.0018245890000798681, 0.0017561429999659595, 0.0018154679999042855, 0.0017962330000500515, 0.0019365620000826311, 0.0018286409999745956, 0.001815365999846108, 0.0017521669999496226, 0.0017402060000222264, 0.0017423259998849971, 0.001738374000069598, 0.0017322609999155247]"
dm16seql4096,"[0.01698747899990849, 0.01690856300001542, 0.016901225000083286, 0.0169147689998681, 0.017066632000023674, 0.017035577999877205, 0.017045677000169235, 0.01694266999993488, 0.01694294699996135, 0.01694009399989227, 0.01691081200010558, 0.01689981300000909, 0.016965969000011683, 0.017049525999937032, 0.017129481999972995, 0.01801873599993087, 0.016905926000163163, 0.01698267200004011, 0.016936961000055817, 0.016952547000073537, 0.01697613999999703, 0.017002892000164138, 0.01698559600004046, 0.01695174900009988, 0.016992056000162847, 0.016916876999857777, 0.017119358999934775, 0.017070917999944868, 0.017170458999999028, 0.017158815000129835, 0.017055411000001186, 0.016996143999904234, 0.01693892000002961, 0.017028860000209534, 0.01720470899999782, 0.017057003999980225, 0.017011615000001257, 0.01703965199999402, 0.01697618799994416, 0.016899518999935026, 0.017114038000045184, 0.017177573000026314, 0.017150767999964955, 0.017014774000017496, 0.017005212999947616, 0.016991939000035927, 0.016920083000059094, 0.01717395699984081, 0.01719194499992227, 0.017099747999964166, 0.01705888399987998, 0.017047649999994974, 0.01698497600000337, 0.017119715000035285, 0.01725719899991418, 0.01712356500001988, 0.01701166599991666, 0.017014516000017466, 0.01702608200002942, 0.016991755999924862, 0.017000970000026427, 0.017128275000004578, 0.01713385199991535, 0.01701848900006553, 0.017041679000158183, 0.01747987499993542, 0.01702502800003458, 0.01707846499994048, 0.017102883999996266, 0.01712690499994096, 0.017117325000072015, 0.017109246000018175, 0.0171714369998881, 0.017104506999885416, 0.017140307000090615, 0.017609321000009004, 0.017117600000119637, 0.017025384999897142, 0.01694998699986172, 0.016998392999994394, 0.017061425000065356, 0.017252943000130472, 0.017233318000080544, 0.01706736100004491, 0.017035909000014726, 0.017082674999983283, 0.017074049000029845, 0.01713951600004293, 0.017054677000032825, 0.016985860999966462, 0.01708071400003064, 0.01694330399982391, 0.01692403800007014, 0.017028353999876344, 0.01711850400010917, 0.017323134999969625, 0.017105428999911965, 0.016932645999986562, 0.01698764699995081, 0.01695672799996828]"
memoryallocateddm16seql4096,579076608.0
backwarddm16seql4096,"[0.02590201300017725, 0.025752526999895053, 0.025501986999870496, 0.025595966000082626, 0.025720983999917735, 0.02597786699993776, 0.02592612399985228, 0.02580140800000663, 0.026079815999992206, 0.025939038000160508, 0.025788079999983893, 0.025710484000001088, 0.026003558999946108, 0.026084345000072062, 0.026323669000021255, 0.026067677999890293, 0.02592379899988373, 0.025768599000002723, 0.025678006999896752, 0.0258232159999352, 0.02576201800002309, 0.025978780000059487, 0.025956497000152012, 0.025844439999900715, 0.02575738099994851, 0.025695203999930527, 0.026168275999907564, 0.026040069999908155, 0.026133424000136074, 0.026119085000118503, 0.02626656000006733, 0.025601629999982833, 0.02567876099988098, 0.025881933999926332, 0.026019356000006155, 0.02588790799995877, 0.02585904800002936, 0.02602370299996437, 0.026500878999968336, 0.025639476999913313, 0.02597964899996441, 0.02631203800001458, 0.026131661999897915, 0.026063837000037893, 0.025817727999992712, 0.02557532900004844, 0.025854277999997066, 0.02618445499979316, 0.026074739000023328, 0.025947267999981705, 0.026216614000077243, 0.025764046000176677, 0.025641618000008748, 0.026072493000128816, 0.02598836900006063, 0.025894480000033582, 0.025805188000049384, 0.02604098299980251, 0.025711678999869036, 0.02567375500007074, 0.02576113999998597, 0.02619137600004251, 0.026048315000025468, 0.02593539300005432, 0.026016138999921168, 0.025734658000146737, 0.02626574500004608, 0.02643590400020912, 0.026136868000094182, 0.02641246999996838, 0.026318546000084098, 0.02613080900005116, 0.02583370799993645, 0.025939666999875044, 0.026180110000041168, 0.026173715999902925, 0.026063734999979715, 0.02596521999998913, 0.02570770900001662, 0.02569070599997758, 0.025989637000066068, 0.026161116000139373, 0.02613864999989346, 0.02603233300010288, 0.026215373000013642, 0.026477699999986726, 0.025875697999936165, 0.026253361000044606, 0.026488449999988006, 0.025821329000109472, 0.02595882800005711, 0.02579433800019615, 0.025839358999974138, 0.02617157000008774, 0.02643348799983869, 0.026299542000060683, 0.026097382999978436, 0.02624782799989589, 0.02573482899992996, 0.025714030000017374]"
dm16seql8192,"[0.07243533000018942, 0.0724929919999795, 0.07249374399998487, 0.07336355899997216, 0.07227036800009046, 0.07248855000011645, 0.072753917, 0.07388865300004, 0.07479186099999424, 0.07529909499999121, 0.07512809199988624, 0.07421039899986681, 0.07498746900000697, 0.07455418100016686, 0.07371267500002432, 0.07306065199986733, 0.07253862600009597, 0.07387958899994373, 0.0739615429999958, 0.07613525099986873, 0.07608875100004298, 0.07442513199998757, 0.07418832100006512, 0.07483031700007814, 0.0761700400000791, 0.07585185100015224, 0.07390879399986261, 0.07696184599990374, 0.07783990999996604, 0.07443283299994619, 0.07415038299996013, 0.07425809400001526, 0.07653988099991693, 0.07490008099989609, 0.07396261200005938, 0.07716591899998093, 0.07541588499998397, 0.07446203000017704, 0.07554460700021082, 0.07697742200002722, 0.07578239700001177, 0.0763785160002044, 0.07699507200004518, 0.07538304300010168, 0.07715731500002221, 0.07707669699993858, 0.07484006999993653, 0.07815968600016276, 0.07626129400000536, 0.07840690500006531, 0.07658354800014422, 0.07601996200014582, 0.07669653500011009, 0.07703609400005007, 0.07787410099990666, 0.07803850200002671, 0.07521045200019216, 0.07892979600001127, 0.07517595199988136, 0.07824631500011492, 0.07587191200013876, 0.07638513300003069, 0.07784900299998299, 0.0769031110000924, 0.07794837200003712, 0.07691456099996685, 0.07810853399996631, 0.07664100900001358, 0.07854435300009754, 0.07727918099999442, 0.07828306600003998, 0.07771909200005211, 0.07867085400016549, 0.07698281699981635, 0.07922822900013671, 0.07913557300003049, 0.07557137399999192, 0.08018059000005451, 0.0770261989998744, 0.0792527380001502, 0.07919219600012184, 0.07742723699993803, 0.07909959299990987, 0.07607865999989372, 0.07960109900000134, 0.07796589899999162, 0.07959044800008996, 0.0797744540000167, 0.0783938350000426, 0.08087479099981465, 0.07966198999997687, 0.07827948800013473, 0.0798608749998948, 0.07700913500002571, 0.07998070999997253, 0.07976422399997318, 0.07836879999990742, 0.08021317500015357, 0.07977159699998992, 0.07806288000006134]"
